index,ocn,name,brand
381,2188,"FARMERS TEL. CO., INC.",
382,2291,"DUBOIS TEL. EXCH., INC.",
383,2206,STONEHAM COOP. TEL. CO.,
384,2197,PHILLIPS COUNTY TEL. CO.,
385,2193,NUCLA-NATURITA TEL. CO.,
386,2194,NUNN TEL. CO.,
387,2201,RICO TEL. CO.,
388,022J,ZIPPYTECH INC. - CO,
389,053L,"TELIMIZE, LLC",
390,199F,"BANDWIDTH.COM CLEC, LLC - CT",
391,4950,"CABLEVISION LIGHTPATH, INC. - CT",
392,639C,"ONVOY, LLC - CT",
393,7143,"TELEPORT COMMUNICATIONS AMERICA, LLC - CT",
394,9147,SOUTHERN NEW ENGLAND TELCO DBA FRONTIER COMM OF CT,
395,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",
396,6388,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - CT,
397,6624,"OMNIPOINT COMMUNICATIONS, INC. - CT",
398,7230,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - CT,
399,7140,"TC SYSTEMS, INC. - NY",
400,4800,"LEVEL 3 COMMUNICATIONS, LLC - CT",
401,9104,"VERIZON NEW YORK, INC.",
402,539F,"PEERLESS NETWORK OF CONNECTICUT, LLC - CT",
403,866H,"BARR TEL USA, INC. - CT",
404,6919,"AQUIS COMMUNICATIONS, INC.",
405,466E,"IDT AMERICA, CORP. - CT",
406,350E,YMAX COMMUNICATIONS CORP. - CT,
407,9211,"VERIZON WASHINGTON DC, INC.",
408,6855,"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC",
409,850D,"ONVOY, LLC - DC",
410,074F,"BANDWIDTH.COM CLEC, LLC - DC",
411,6402,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC,
412,280E,YMAX COMMUNICATIONS CORP. - DC,
413,6117,"LEVEL 3 COMMUNICATIONS, LLC - DC",
414,8831,"STARPOWER COMMUNICATIONS, LLC - DC",
415,275F,"PEERLESS NETWORK OF THE DISTRICT OF COLUMBIA, DC",
416,7529,"TELEPORT COMMUNICATIONS AMERICA, LLC - DC",
417,2801,"LEVEL 3 TELECOM OF D.C., LLC - DC",
418,6810,REDI-CALL COMMUNICATIONS CO.,
419,538H,"WIDE VOICE, LLC - DC",
420,513G,"ATLANTECH ONLINE, INC. - DC",
421,8964,"XO D.C., INC.",
422,812C,INTRADO COMMUNICATIONS LLC,
423,645H,"AIRUS, INC. - DC",
424,879H,"BARR TELL USA, INC. - DC",
425,279E,YMAX COMMUNICATIONS CORP. - DE,
426,969E,"ONVOY, LLC - DE",
427,9210,"VERIZON DELAWARE, INC.",
428,4801,"LEVEL 3 COMMUNICATIONS, LLC - DE",
429,6626,"OMNIPOINT COMMUNICATIONS ENTERPRISES, LP",
430,073F,"BANDWIDTH.COM CLEC, LLC - DE",
431,6393,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DE,
