ocn,class
# Format: <4-char OCN>,<wireline|wireless|voip|tollfree>
#
# THIS FILE IS THE MAINTENANCE BURDEN OF THE SYSTEM. Everything else is
# static code; this decays as carriers merge and new OCNs are issued.
#
#  1. Never regex over company names. T-Mobile alone sits behind OCNs from
#     Voicestream, MetroPCS and Sprint; name matching misfiles the MVNO tail.
#  2. A missing OCN yields Unknown, not a guess. Abstaining costs one result;
#     guessing wrong costs a customer.
#  3. Classify CLEC and interconnected-VoIP holders as `voip`. Twilio and
#     Bandwidth DIDs are SMS-reachable despite wireline assignment.
#  4. Run `ltbuild -report` after every rebuild; work the unmapped list
#     top-down, it's sorted by how many blocks each missing code costs you.
#
# EXAMPLES ONLY - DELETE BEFORE PRODUCTION
0375,wireline
228C,voip
268A,voip
7264,voip
914F,voip
0049,wireline
695G,voip
863F,wireline
879G,voip
012E,voip
0909,wireline
5018,voip
5307,voip
7809,voip
0039,wireline
0071,wireline
0091,wireline
0105,wireline
0110,wireline
0128,wireline
0244,wireline
0277,wireline
0295,wireline
0315,wireline
0322,wireline
0355,wireline
0376,wireline
038E,voip
0395,wireline
0408,wireline
0415,wireline
0426,wireline
0438,wireline
0447,wireline
0455,wireline
0497,wireline
0594,wireline
0659,wireline
0675,wireline
0676,wireline
0703,wireline
0721,wireline
0902,wireline
0908,wireline
0934,wireline
0955,wireline
0962,wireline
0984,wireline
1058,wireline
1133,wireline
1139,wireline
1172,wireline
1173,wireline
1195,wireline
1225,wireline
1261,wireline
1282,wireline
128J,voip
1291,wireline
1338,wireline
1389,wireline
1396,wireline
1431,wireline
1650,wireline
1692,wireline
1702,wireline
1778,wireline
1845,wireline
1866,wireline
1941,wireless
1945,wireline
1949,wireline
1969,wireline
2107,wireline
2134,wireline
2200,wireline
2208,wireline
2209,wireline
2218,wireline
2222,wireline
2252,wireline
2291,wireline
2311,wireline
2343,wireline
2349,wireline
2390,wireline
2392,wireline
2453,wireline
3112,voip
368E,voip
3726,voip
4057,wireless
405E,voip
4169,voip
427K,voip
438D,voip
4401,wireline
4433,wireline
4434,wireline
4451,wireline
452G,voip
4586,voip
4850,wireless
517K,voip
598B,wireline
6597,wireless
692G,voip
753A,voip
785G,wireline
8203,wireline
8240,wireline
8692,voip
909H,wireless
996E,voip
0918,wireline
1440,wireline
1615,wireline
1812,wireline
2221,wireline
2232,wireline
2322,wireline
340D,wireless
352E,voip
4300,wireline
669D,voip
733J,voip
7720,voip
860F,voip
964H,voip
9807,voip
0347,wireline
0552,wireline
0819,wireline
1065,wireline
187G,voip
2184,wireline
600F,voip
6125,voip
791D,voip
0007,wireline
0149,wireline
0776,wireline
1247,wireline
1900,wireline
2315,wireline
2427,wireline
3301,wireline
3453,voip
423C,voip
478H,voip
544A,voip
0453,wireline
0920,wireline
0938,wireline
3315,wireline
342F,voip
356H,wireless
362B,voip
4042,voip
465H,voip
7014,voip
9572,wireless
0172,voip
0557,wireline
0583,wireline
0970,wireline
1477,wireless
179J,voip
2220,wireline
588H,voip
5910,voip
669B,voip
724J,voip
986F,voip
1524,wireline
3320,wireline
0880,wireline
147L,voip
197H,voip
2422,wireline
2475,voip
3816,voip
657B,voip
7487,voip
771G,voip
9539,voip
091H,voip
1442,wireline
220C,voip
2344,wireline
3699,voip
3924,voip
562E,voip
588F,wireless
783E,voip
925G,voip
0072,wireline
0485,wireline
068F,voip
0844,wireline
2629,voip
340E,wireline
480D,voip
558A,voip
885E,voip
9882,voip
0034,wireline
0047,wireline
0065,voip
0073,wireline
0077,wireline
0079,wireline
0131,wireline
0175,wireline
0237,wireline
0299,wireline
0305,wireline
0308,wireline
0335,wireline
0354,wireline
0358,wireline
0368,wireline
0369,wireline
0382,wireline
0389,wireline
0430,wireline
0505,wireline
0590,wireline
0606,wireline
0658,wireline
0669,wireline
0711,wireline
0825,wireline
0831,wireline
0842,wireline
0843,wireline
0846,wireline
0863,wireline
0868,wireline
0879,wireline
0936,wireline
0937,wireline
0983,wireline
1029,wireline
1053,wireline
1094,wireline
1112,wireline
1125,wireline
1156,wireline
1189,wireline
1209,wireline
1217,wireline
1230,wireline
1251,wireline
1262,wireline
1301,wireline
1347,wireline
1391,wireline
1406,wireline
1408,wireline
1409,wireline
1410,wireline
1412,wireline
1424,wireline
1439,wireline
1449,wireline
1562,wireline
1640,wireline
1654,wireline
1698,wireline
1781,wireline
1816,wireline
1865,wireline
1942,wireline
1966,wireline
1981,wireline
2006,wireline
2032,wireline
